25/10/2025;IMBABURA;PIMAMPIRO;100550;PIMAMPIRO;Seguridad Ciudadana;Libadores;2;56; ; ;97;3;1;1;2;2;70;2;2
15/10/2025;IMBABURA;IBARRA;100150;SAN MIGUEL DE IBARRA Y CAPITAL*;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;2;43;1; ;670;3;1;1;1;1;200;2;2
9/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Tránsito y Movilidad;Servicios;;;;;;;1;1;1;1;280;2;2
23/10/2025;PICHINCHA;QUITO;170157;CUMBAYÁ;Seguridad Ciudadana;Escándalo en espacio público;1;65;1; ;523;4;1;1;1;1;300;2;2
18/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;1;45;1; ;524;5;1;1;1;1;220;2;3
21/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;1;280;2;2
20/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;1;280;2;2
5/10/2025;MANABI;PORTOVIEJO;130150;PORTOVIEJO Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Libadores;1;26;1; ;167;4;1;3;2;2;80;3;2
5/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;1;280;2;2
16/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Orden de incautación/embargo;1;45;1; ;524;5;1;1;1;1;220;2;3
9/10/2025;AZUAY;CUENCA;010150;CUENCA Y CAPITAL PROVINCIAL.;Servicios Municipales;Libadores - GAD;;;;;;;1;3;1;2;100;2;2
11/10/2025;TUNGURAHUA;AMBATO;180150;AMBATO Y CAPITAL PROVINCIAL;Gestión Sanitaria;Mal estado general;2;49;1; ;300;5;1;1;1;1;250;2;2
8/10/2025;AZUAY;CUENCA;010150;CUENCA Y CAPITAL PROVINCIAL.;Tránsito y Movilidad;Denuncias / campañas;;;;;;;1;3;1;2;100;2;2
31/10/2025;GUAYAS;DURAN;090750;ELOY ALFARO (DURÁN);Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;1;100;2;3
13/10/2025;PICHINCHA;QUITO;170152;AMAGUAÑA;Seguridad Ciudadana;Escándalo;1;73; ; ;650;3;1;1;1;1;150;2;3
7/10/2025;ZAMORA CHINCHIPE;YANTZAZA;190553;LOS ENCUENTROS;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;1;61;1; ;370;3;1;3;1;1;200;2;2
23/10/2025;LOS RIOS;QUEVEDO;120550;QUEVEDO;Tránsito y Movilidad;Otros;1;55; ; ;186;4;1;1;2;2;220;3;2
12/10/2025;IMBABURA;IBARRA;100150;SAN MIGUEL DE IBARRA Y CAPITAL*;Seguridad Ciudadana;Registro de personas y/o vehículos con actitud sospechosa;2;43;1; ;670;3;1;1;1;1;200;2;2
27/10/2025;ESMERALDAS;ESMERALDAS;080150;ESMERALDAS Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Ficha de datos información;;;;;;;1;3;1;1;50;3;2
23/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Servicios Municipales;Alerta / seguridad;1;45;1; ;524;5;1;1;1;1;220;2;3
22/10/2025;CHIMBORAZO;RIOBAMBA;060150;RIOBAMBA Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;2;180;2;2
17/10/2025;AZUAY;CUENCA;010150;CUENCA Y CAPITAL PROVINCIAL.;Servicios Municipales;Libadores - GAD;;;;;;;1;3;1;2;100;2;2
20/10/2025;GUAYAS;MILAGRO;091050;MILAGRO;Gestión Sanitaria;Caída;;;;;;;1;1;2;2;60;2;3
5/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;1;280;2;2
19/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Muerte indeterminada;1;45;1; ;524;5;1;1;1;1;220;2;3
17/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Servicio Militar;Apoyo otras instituciones del estado;;;;;;;1;1;1;1;280;2;2
23/10/2025;COTOPAXI;LATACUNGA;050150;LATACUNGA Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;1;500;3;1
29/10/2025;MORONA SANTIAGO;TAISHA;140950;TAISHA;Servicio Militar;Revisión de personas y/o vehículos;1;35;1; ;1075;5;1;3;1;1;58;2;2
21/10/2025;COTOPAXI;PUJILI;050450;PUJILÍ;Seguridad Ciudadana;Ficha de datos operativo;;;;;;;1;3;2;3;100;3;1
8/10/2025;CHIMBORAZO;RIOBAMBA;060150;RIOBAMBA Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Abuso de confianza;;;;;;;1;1;1;2;180;2;2
18/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;1;280;2;2
31/10/2025;PASTAZA;PASTAZA;160150;PUYO Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Presencia policial;2;56;1; ;657;3;1;1;3;2;200;2;3
31/10/2025;LOJA;LOJA;110159;SANTIAGO;Seguridad Ciudadana;Escándalo en espacio público;;;;;;;;;;;;;
12/10/2025;GUAYAS;DURAN;090750;ELOY ALFARO (DURÁN);Seguridad Ciudadana;Presencia policial;;;;;;;1;1;1;1;100;2;3
19/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Agresiones a personas;1;45;1; ;524;5;1;1;1;1;220;2;3
16/10/2025;GUAYAS;GUAYAQUIL;090152;JUAN GÓMEZ RENDÓN (PROGRESO);Gestión de Siniestros;Forestal;;;;;;;;;;;;;
4/10/2025;ESMERALDAS;ESMERALDAS;080150;ESMERALDAS Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Sonidos de alarma;;;;;;;1;3;1;1;50;3;2
26/10/2025;MORONA SANTIAGO;MORONA;140150;MACAS Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Muerte por accidente de tránsito;1;84;1; ;160;3;1;1;2;2;150;2;2
15/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Boleta / orden de autoridad;1;45;1; ;524;5;1;1;1;1;220;2;3
7/10/2025;GUAYAS;MILAGRO;091050;MILAGRO;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;2;2;60;2;3
17/10/2025;IMBABURA;ANTONIO ANTE;100254;SAN ROQUE;Servicios Municipales;Fauna urbana;1;59; ; ;203;3;1;2;2;2;300;3;3
8/10/2025;AZUAY;CUENCA;010150;CUENCA Y CAPITAL PROVINCIAL.;Servicios Municipales;Libadores - GAD;;;;;;;1;3;1;2;100;2;2
10/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Tránsito y Movilidad;Servicios;1;45;1; ;524;5;1;1;1;1;220;2;3
7/10/2025;COTOPAXI;LATACUNGA;050150;LATACUNGA Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;1;500;3;1
24/10/2025;TUNGURAHUA;AMBATO;180150;AMBATO Y CAPITAL PROVINCIAL;Tránsito y Movilidad;Denuncias / campañas;2;49;1; ;300;5;1;1;1;1;250;2;2
7/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Servicios Municipales;Mantenimiento en vías y espacios públicos;1;45;1; ;524;5;1;1;1;1;220;2;3
19/10/2025;SUCUMBIOS;SHUSHUFINDI;210450;SHUSHUFINDI;Seguridad Ciudadana;Violencia contra la mujer o miembros del núcleo familiar psicológica;2;60;1; ;1093;5;1;1;1;1;200;2;3
25/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Gestión Sanitaria;Evento cerebro vascular;;;;;;;1;1;1;1;280;2;2
14/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Tránsito y Movilidad;Pérdida de carril con heridos;;;;;;;1;1;1;1;280;2;2
16/10/2025;GUAYAS;DAULE;090650;DAULE;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;2;2;150;3;3
25/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Gestión Sanitaria;Problemas respiratorios / dificultad respiratoria;;;;;;;1;1;1;1;280;2;2
4/10/2025;PICHINCHA;QUITO;170156;CONOCOTO;Seguridad Ciudadana;Libadores;2;53;1; ;1040;5;1;2;1;1;300;2;2
30/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Gestión Sanitaria;Transporte secundario;;;;;;;1;1;1;1;280;2;2
19/10/2025;AZUAY;CUENCA;010150;CUENCA Y CAPITAL PROVINCIAL.;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;3;1;2;100;2;2
22/10/2025;PICHINCHA;MEJIA;170352;ALOASÍ;Seguridad Ciudadana;Libadores;1;86; ; ;40;1;1;3;3;3;50;3;3
7/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Gestión Sanitaria;Transporte secundario;1;45;1; ;524;5;1;1;1;1;220;2;3
11/10/2025;AZUAY;CUENCA;010150;CUENCA Y CAPITAL PROVINCIAL.;Tránsito y Movilidad;Denuncias / campañas;;;;;;;1;3;1;2;100;2;2
7/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Gestión Sanitaria;Traumatismos / lesiones / caídas;;;;;;;1;1;1;1;280;2;2
1/10/2025;AZUAY;CUENCA;010150;CUENCA Y CAPITAL PROVINCIAL.;Tránsito y Movilidad;Vehículo mal estacionado;;;;;;;1;3;1;2;100;2;2
25/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Escándalo;1;45;1; ;524;5;1;1;1;1;220;2;3
8/10/2025;LOS RIOS;BABA;120250;BABA;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;;;;;;;
17/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Tránsito y Movilidad;Choque sin heridos;1;45;1; ;524;5;1;1;1;1;220;2;3
9/10/2025;AZUAY;CUENCA;010150;CUENCA Y CAPITAL PROVINCIAL.;Tránsito y Movilidad;Denuncias / campañas;;;;;;;1;3;1;2;100;2;2
6/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Agresión verbal;1;45;1; ;524;5;1;1;1;1;220;2;3
25/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Presencia policial;1;45;1; ;524;5;1;1;1;1;220;2;3
18/10/2025;ESMERALDAS;QUININDE;080455;LA UNIÓN;Gestión de Siniestros;Incendios;;;;;;;1;1;1;1;200;2;2
9/10/2025;MANABI;PORTOVIEJO;130150;PORTOVIEJO Y CAPITAL PROVINCIAL;Gestión de Siniestros;Fuga de gas;1;26;1; ;167;4;1;3;2;2;80;3;2
16/10/2025;ORELLANA;ORELLANA;220150;PUERTO FRANCISCO DE ORELLANA (EL COCA),CABECERA C*;Servicios Municipales;Libadores - GAD;1;30;1; ;747;5;1;3;2;2;150;2;1
7/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;1;280;2;2
21/10/2025;CHIMBORAZO;RIOBAMBA;060150;RIOBAMBA Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Ficha de datos;;;;;;;1;1;1;2;180;2;2
26/10/2025;GUAYAS;BALZAR;090450;BALZAR;Gestión Sanitaria;Transporte secundario;;;;;;;1;3;3;3;50;3;3
23/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Gestión Sanitaria;Consulta médica;1;45;1; ;524;5;1;1;1;1;220;2;3
6/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Escándalo en espacio público;1;45;1; ;524;5;1;1;1;1;220;2;3
6/10/2025;COTOPAXI;LA MANA;050251;GUASAGANDA (CAB.EN GUASAGANDA CENTRO);Seguridad Ciudadana;Resguardo a personas que traslada valores a nivel local;;;;;;;;;;;;;
23/10/2025;MANABI;PORTOVIEJO;130150;PORTOVIEJO Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;1;26;1; ;167;4;1;3;2;2;80;3;2
15/10/2025;CAÑAR;SUSCAL;030750;SUSCAL;Seguridad Ciudadana;Estafa;;;;;;;1;4;2;1;30;1;3
13/10/2025;MORONA SANTIAGO;MORONA;140150;MACAS Y CAPITAL PROVINCIAL;Gestión Sanitaria;Trastornos metabólicos;1;84;1; ;160;3;1;1;2;2;150;2;2
8/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;1;45;1; ;524;5;1;1;1;1;220;2;3
21/10/2025;SANTA ELENA;LA LIBERTAD;240250;LA LIBERTAD;Seguridad Ciudadana;Ficha de datos operativo;2;51; ;1;85;3;1;3;2;2;80;2;2
28/10/2025;LOJA;LOJA;110150;LOJA Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;1;54;1; ;135;3;1;3;3;3;80;2;3
30/10/2025;PICHINCHA;QUITO;170150;QUITO DISTRITO METROPOLITANO;Seguridad Ciudadana;Presencia policial;1;45;1; ;524;5;1;1;1;1;220;2;3
19/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;1;1;1;280;2;2
30/10/2025;BOLIVAR;GUARANDA;020150;GUARANDA Y CAPITAL PROVINCIAL;Tránsito y Movilidad;Vehículo mal estacionado;;;;;;;1;1;1;1;130;3;2
7/10/2025;CARCHI;TULCAN;040150;TULCÁN Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Patrullaje policial en el sector solicitado;;;;;;;1;3;3;2;30;2;2
25/10/2025;GUAYAS;GUAYAQUIL;090150;GUAYAQUIL Y CAPITAL PROVINCIAL;Seguridad Ciudadana;Robo de motos;;;;;;;1;1;1;1;280;2;2
